urban_rural,region,age,gender,education,employment_status,occupation,country_direction,economic_condition,presidents_performance,trust_president,corruption_level,handle_economy,handle_corruption,news_radio,news_tv,news_newspapers,news_social_media,news_internet,voted_last_election,party_voted_for,education_grouped,occupation_grouped
Urban,Nairobi,29.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Unemployed (Not looking),Housewife / homemaker,Going in the right direction,Neither good nor bad,Strongly approve,Not at all,Stayed the same,Fairly well,Fairly well,Never,Every day,Never,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Housewife
Urban,Machakos,24.0,Man,University completed,Unemployed (Actively looking),Student,Going in the right direction,Fairly bad,Approve,Somewhat,Increased somewhat,Fairly well,Very badly,A few times a month,A few times a week,Every day,Every day,Every day,I voted in the election,United Democratic Alliance (UDA),Bachelors Degree,Student
Urban,Machakos,34.0,Woman,Secondary school / high school completed,Employed (Part-time),Trader / hawker / vendor,Going in the wrong direction,Fairly bad,Approve,Just a little,Decreased a lot,Undecided/No Response,Fairly well,A few times a week,Every day,Never,Never,Never,I voted in the election,Would not vote,Secondary School,Trader
Urban,Machakos,45.0,Woman,Primary school completed,Employed (Full-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Fairly bad,Strongly disapprove,Just a little,Increased a lot,Very badly,Very badly,Every day,Every day,Never,Never,Never,I voted in the election,Undecided/No Response,Primary School,Skilled/Unskilled Labor
Urban,Nairobi,23.0,Man,University completed,Unemployed (Not looking),Student,Going in the wrong direction,Neither good nor bad,Disapprove,Just a little,Increased a lot,Fairly well,Very badly,Less than once a month,Less than once a month,Never,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Bachelors Degree,Student
Urban,Machakos,30.0,Man,Secondary school / high school completed,Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Neither good nor bad,Strongly disapprove,Somewhat,Increased a lot,Very well,Fairly badly,Every day,Every day,Every day,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,65.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Part-time),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Approve,Just a little,Increased a lot,Fairly badly,Fairly badly,Every day,A few times a week,Less than once a month,Less than once a month,Less than once a month,I voted in the election,Orange Democratic Movement (ODM),Certificate/Diploma,Skilled/Unskilled Labor
Urban,Nairobi,30.0,Man,Some university,Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Very bad,Disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,Every day,Never,Every day,Every day,I voted in the election,Would not vote,Bachelors Degree,Trader
Urban,Nairobi,42.0,Man,Secondary school / high school completed,Unemployed (Actively looking),"Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Fairly badly,Very badly,Every day,Every day,Every day,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,66.0,Woman,Secondary school / high school completed,Employed (Full-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the right direction,Fairly good,Approve,A lot,Undecided/No Response,Fairly well,Fairly well,Never,Every day,Every day,Every day,Undecided/No Response,I voted in the election,Undecided/No Response,Secondary School,Professional
Urban,Nairobi,45.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the wrong direction,Very bad,Strongly disapprove,A lot,Increased a lot,Very badly,Very well,Every day,Every day,Less than once a month,A few times a week,Every day,I voted in the election,Undecided/No Response,Certificate/Diploma,Skilled/Unskilled Labor
Urban,Nairobi,23.0,Man,University completed,Unemployed (Actively looking),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Fairly bad,Strongly disapprove,Just a little,Increased somewhat,Fairly badly,Very badly,Every day,Every day,Never,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Bachelors Degree,Professional
Urban,Nairobi,30.0,Woman,Secondary school / high school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Disapprove,Just a little,Increased a lot,Fairly badly,Fairly badly,A few times a week,A few times a week,Less than once a month,Every day,Every day,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Nairobi,30.0,Woman,Secondary school / high school completed,Employed (Full-time),Retail / Shop,Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,A few times a week,Never,Every day,A few times a week,I voted in the election,Orange Democratic Movement (ODM),Secondary School,Trader
Urban,Nairobi,40.0,Woman,Primary school completed,Unemployed (Actively looking),Trader / hawker / vendor,Going in the wrong direction,Very bad,Strongly disapprove,Not at all,Increased somewhat,Fairly badly,Fairly badly,Every day,A few times a week,Never,Never,Less than once a month,I voted in the election,Orange Democratic Movement (ODM),Primary School,Trader
Urban,Nairobi,24.0,Man,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Very bad,Disapprove,Not at all,Increased a lot,Fairly well,Fairly badly,A few times a week,A few times a month,A few times a month,A few times a week,A few times a month,I did not vote,Orange Democratic Movement (ODM),Certificate/Diploma,Skilled/Unskilled Labor
Urban,Nairobi,20.0,Woman,Secondary school / high school completed,Unemployed (Not looking),Never had a job,Going in the right direction,Neither good nor bad,Strongly approve,A lot,Decreased a lot,Fairly well,Very badly,Every day,A few times a week,Never,Never,Never,I voted in the election,Undecided/No Response,Secondary School,Undecided/No Response
Urban,Nairobi,22.0,Man,Secondary school / high school completed,Employed (Full-time),"Unskilled manual worker (e.g., cleaner, laborer, domestic help, unskilled manufacturing worker)",Going in the right direction,Fairly good,Disapprove,Not at all,Increased a lot,Very badly,Very badly,Every day,A few times a week,A few times a week,Every day,Every day,I did not vote,Undecided/No Response,Secondary School,Skilled/Unskilled Labor
Urban,Nairobi,51.0,Woman,Secondary school / high school completed,Employed (Full-time),Retail / Shop,Going in the wrong direction,Fairly bad,Approve,Just a little,Increased a lot,Fairly well,Very badly,Every day,Never,Less than once a month,A few times a week,Less than once a month,I voted in the election,National Rainbow Coalition,Secondary School,Trader
Urban,Nairobi,32.0,Woman,"Post-secondary qualifications, other than university e.g. a diploma or degree from a polytechnic or college",Employed (Full-time),Trader / hawker / vendor,Going in the wrong direction,Neither good nor bad,Approve,Not at all,Increased a lot,Very badly,Very badly,A few times a week,A few times a month,Never,Every day,Every day,I voted in the election,Undecided/No Response,Certificate/Diploma,Trader
Urban,Nairobi,24.0,Man,Primary school completed,Employed (Part-time),Trader / hawker / vendor,Going in the wrong direction,Fairly bad,Strongly disapprove,A lot,Increased a lot,Very badly,Very badly,A few times a week,A few times a week,Never,Never,Never,I voted in the election,Orange Democratic Movement (ODM),Primary School,Trader
Urban,Nairobi,25.0,Woman,University completed,Employed (Full-time),"Mid-level professional (e.g., teacher, nurse, mid-level government officer)",Going in the wrong direction,Fairly good,Strongly disapprove,Not at all,Increased a lot,Very badly,Very badly,Never,Every day,Never,Every day,A few times a month,I did not vote,Undecided/No Response,Bachelors Degree,Professional
